Username,Password,Email,User_Type,Score
s,r,s,Student,0
s,r,s,Student,0
sr,r,s,Teacher,-1
srs,r,s,Admin,99
suijith,r,s,Student,0
su,r,s,Student,0
,,,Teacher,-1
rere,rere,rere,Teacher,-1
sss,ssss,sss,Student,0
suji,puji,suijith@gmail.com,Student,0
rawad123,rawad123,rawad123@gmail.com,Student,0
4qwads,wdads,weqdq,Student,0
dsadass,dsasdsa,dsadas,Student,0
eqw,ewewq,ewqw,Student,0
r3e,erw,eqreq,Student,0
dwds,dwqwq,weqww,Student,0
weqw221,ewqe,2313,Student,0
sda,ewq,ewqe,Student,0
wqewq,2131,431212,Student,0
ereqeq,34132,321312,Student,0
fewfe,weqw2,ewqewq,Student,0
koldksa,ewewq,weq2,Student,0
321,wedq,weqe,Student,0
dw,sad,dwqd,Student,0
dw32,sad,dwqd,Teacher,-1
rafey,resr,fdsf,Student,2
tr,re,rdf,Student,0
testtesttest,test,test,Student,0
RafeySmurfAcc,r,r,Student,10
RafeySmurf#2,r,r,Student,10
username,password,email@example.com,Student,0
testuserforunittest,password,email@example.com,Student,0
testtforunittest,password,email@example.com,Student,0
testforunittest,password,email@example.com,Student,0
teacher1,password,teacher1@example.com,Teacher,-1
rawad231,rawad231,rawad231,Student,1
